id_orgao,nome,cod_tipo_orgao,uri,year_snapshot,rn
5498,"Comissão Mista Temporária destinada a, "" no prazo de 60 dias, levantar e diagnosticar as causas e efeitos da violência que assola o País, ouvindo-se, para tanto, Governadores de Estados, Secretários de Segurança Pública, Comandantes das Polícias Civis e Militares, Diretores de Presídios e outros especialistas e autoridades ligados à área e requisitando-se cópia de todas as proposições em tramitação em ambas as Casas, para consolidá-las em uma única proposta de emenda à Constituição ou em um único projeto de lei, conforme o caso, com vista a uma tramitação em ritmo acelerado tanto na Câmara como no Senado"".",6,https://dadosabertos.camara.leg.br/api/v2/orgaos/5498,2020,1
6415,"Comissão Parlamentar de Inquérito para investigar as causas, conseqüências e responsáveis pela crise do sistema de tráfego aéreo brasileiro, desencadeada após o acidente aéreo ocorrido no dia 29 de setembro de 2006, envolvendo um Boeing 737-800, da Gol (vôo 1907), e um jato Legacy, da América ExcelAire, com mais de uma centena de vítimas.",4,https://dadosabertos.camara.leg.br/api/v2/orgaos/6415,2020,1
9071,Comissão Parlamentar Mista de Inquérito com a finalidade de investigar a situação da violência contra a mulher no Brasil e apurar denúncias de omissão por parte do poder público com relação à aplicação de instrumentos instituídos em lei para proteger as mulheres em situação de violência,20,https://dadosabertos.camara.leg.br/api/v2/orgaos/9071,2020,1
82,Tribunal de Contas da União,40000,https://dadosabertos.camara.leg.br/api/v2/orgaos/82,2020,1
537273,"Comissão Externa da Câmara dos Deputados, com ônus para esta Casa, para propor ações legislativas e políticas capazes de combater os recentes casos de Racismo, bem como investigar as providências adotadas pelos setores públicos e privados.",5,https://dadosabertos.camara.leg.br/api/v2/orgaos/537273,2020,1
271,Superior Tribunal Militar,50000,https://dadosabertos.camara.leg.br/api/v2/orgaos/271,2020,1
538490,Comissão especial destinada a acompanhar as ações de combate ao câncer no Brasil,3,https://dadosabertos.camara.leg.br/api/v2/orgaos/538490,2020,1
538297,"Comissão Especial destinada a proferir parecer à Mensagem nº 696, de 2010, do Poder Executivo, que ""submete à consideração do Congresso Nacional texto da Convenção Internacional sobre a Proteção dos Direitos de Todos os Trabalhadores Migrantes e dos Membros das suas Famílias, adotada em 18 de dezembro de 1990, em Sessão da Assembléia Geral das Nações Unidas""",3,https://dadosabertos.camara.leg.br/api/v2/orgaos/538297,2020,1
101772,MPF - PGR - Procuradoria Geral da República,70000,https://dadosabertos.camara.leg.br/api/v2/orgaos/101772,2020,1
6987,Comissão de Assuntos Econômicos,81003,https://dadosabertos.camara.leg.br/api/v2/orgaos/6987,2020,1
266,"COMISSÃO MISTA DE PLANOS, ORÇAMENTO PÚBLICO E FISCALIZAÇÃO",6,https://dadosabertos.camara.leg.br/api/v2/orgaos/266,2020,1
476,Grupo de Trabalho de Consolidação das Leis (INATIVO),10,https://dadosabertos.camara.leg.br/api/v2/orgaos/476,2020,1
276,CPI - NARCOTRÁFICO,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/276,2020,1
279,CPI DOS TÍTULOS PÚBLICOS,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/279,2020,1
284,CPI- BENEFÍCIOS PREVIDENCIÁRIOS,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/284,2020,1
5495,"Comissão Especial destinada ""a estudar as propostas existentes e apresentar projetos legislativos que amenizem os efeitos da tributação cumulativa sobre a economia nacional, usando como compensação a tributação de importação.""",3,https://dadosabertos.camara.leg.br/api/v2/orgaos/5495,2020,1
5364,"Comissão Especial destinada a examinar todas as questões relacionadas à violência e à segurança pública no país, que poderá, mesmo em meio ao andamento de seus trabalhos, oferecer sugestões, indicações e elaborar proposições destinadas a minimizar este grave problema que aflige a sociedade brasileira",3,https://dadosabertos.camara.leg.br/api/v2/orgaos/5364,2020,1
5560,"Comissão Parlamentar de Inquérito destinada a  ""investigar o tráfico ilegal de animais e plantas silvestres da fauna e flora brasileiras"".",4,https://dadosabertos.camara.leg.br/api/v2/orgaos/5560,2020,1
6115,Comissão Parlamentar de Inquérito com a finalidade de investigar a atuação de organizações criminosas atuantes no tráfico de órgãos humanos.,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/6115,2020,1
6281,Comissão Parlamentar de Inquérito destinada a investigar as organizações criminosas do tráfico de armas.,4,https://dadosabertos.camara.leg.br/api/v2/orgaos/6281,2020,1
