proc_tag,auth_tag
P:579347,S:5533
P:579607,S:5527
P:579655,S:3366
P:579775,S:2207
P:579823,S:2331
P:579871,S:2331
P:579895,S:90
P:579919,S:90
P:579943,S:5008
P:579967,S:5525
P:580111,S:5529
P:580159,S:3830
P:580255,S:5637
P:580279,S:3830
P:580351,S:3830
P:580447,S:5523
P:580471,S:5523
P:580663,S:5144
P:580692,S:5197
P:580908,S:5100
P:580980,S:3830
P:581052,S:5529
P:581100,S:5236
P:581172,S:5533
P:581220,S:3830
P:581244,S:3830
P:581292,S:3830
P:581316,S:3830
P:581340,S:5236
P:581388,S:5540
P:581460,S:5236
P:581535,S:677
P:581607,S:5178
P:581703,S:5236
P:581727,S:5012
P:581871,S:5527
P:582103,S:5637
P:582151,S:558
P:582199,S:3
P:582367,S:5112
P:582391,S:5537
P:582439,S:456
P:582461,S:4981
P:582533,S:5540
P:582581,S:3830
P:582677,S:5012
P:582845,S:456
P:582869,S:5006
P:582941,S:111
P:583013,S:5070
P:583061,S:4558
P:583085,S:5540
P:583157,S:677
P:583205,S:456
P:583229,S:456
P:583253,S:5236
P:583277,S:5540
P:583301,S:5533
P:583325,S:3
P:583421,S:5236
P:583445,S:5523
P:583565,S:456
P:583613,S:4981
P:583637,S:5012
P:583661,S:5012
P:583685,S:5012
P:583709,S:456
P:583733,S:945
P:583757,S:5540
P:583805,S:3713
P:583829,S:3372
P:583853,S:5070
P:584069,S:945
P:584093,S:5012
P:584261,S:4981
P:584333,S:5100
P:584429,S:677
P:584477,S:456
P:584549,S:677
P:584645,S:3830
P:584669,S:3830
P:584693,S:3830
P:584717,S:3830
P:584741,S:2207
P:584765,S:3713
P:584933,S:5637
P:584981,S:456
P:585125,S:739
P:585173,S:643
P:585221,S:5012
P:585269,S:5523
P:585293,S:5523
P:585317,S:677
P:585365,S:456
P:585389,S:456
P:585509,S:456
P:585533,S:456
P:585605,S:5236
P:585629,S:5236
P:585773,S:5012
P:585845,S:3830
P:585893,S:4981
P:585965,S:677
P:586049,S:945
P:586073,S:4560
P:586121,S:3830
P:586145,S:3830
P:586169,S:3830
P:586193,S:5540
P:586217,S:5012
P:586241,S:5008
P:586265,S:5008
P:586313,S:5008
P:586457,S:3830
P:586505,S:5008
P:586601,S:5012
P:586769,S:5322
P:586913,S:5523
P:586961,S:5523
P:587111,S:5012
P:587135,S:5012
P:587183,S:5236
P:587231,S:5236
P:587279,S:5008
P:587303,S:945
P:587351,S:3398
P:587375,S:677
P:587399,S:5540
P:587421,S:5112
P:587589,S:5112
P:587637,S:825
P:587685,S:825
P:1395771,S:1173
P:1396032,S:5070
P:1396402,S:5527
P:1396455,S:5527
P:1396598,S:5144
P:1396758,S:5070
P:1396809,S:5070
P:1396861,S:604
P:1396963,O:3947535
P:1396985,S:3372
P:1397042,S:604
P:1397095,S:604
P:1397149,S:558
P:1397318,S:5070
P:1397367,S:1173
P:1397472,S:1176
P:1397683,S:4763
P:1397851,S:604
P:1397960,S:558
P:1398011,O:1
P:1398060,S:1176
P:1398430,S:5144
P:1398480,S:5144
P:1398530,S:5144
P:1398633,S:5144
P:1398683,S:5070
P:1398736,S:604
P:1398840,S:5144
P:1399048,S:5144
P:1399217,S:3372
P:1399267,S:5070
P:1399426,S:5070
P:1399477,S:5070
P:1399579,S:5070
P:1399838,S:5070
P:1399941,S:1176
P:1400144,S:604
P:1400257,S:5070
P:1400421,S:2331
P:1400474,S:5144
P:1400529,S:5070
P:1400746,S:5144
P:1400903,S:5144
P:1401057,S:1176
P:1401258,S:5070
P:1401360,S:5144
P:1401632,S:604
P:1401951,S:5070
P:1402002,S:5144
P:1402055,S:5144
P:1402109,S:5144
P:1402318,S:5070
P:1402371,S:4560
P:1402479,S:1176
P:1402530,S:5144
P:1402579,S:5144
P:1402627,S:5144
P:1402677,S:5144
P:1402725,S:5144
P:1402773,S:5144
P:2039881,O:2
P:2039920,O:2
P:2040111,O:7349805
P:2040150,O:2
P:2040304,O:2
P:2040380,O:2
P:2040418,O:2
P:2040456,O:2
P:2915585,O:3947532
P:2915811,O:3947422
P:2915882,O:2
P:2916005,S:5533
P:2916077,S:5236
P:2916266,S:3398
P:2916404,O:2
P:2916443,O:2
P:2916503,S:5038
P:2916530,O:2
P:2916566,S:945
P:2916614,S:73
P:2916834,S:3366
P:2916885,O:2
P:2917011,O:2
P:2917239,O:2
P:2917348,O:2
P:2917471,S:3394
P:2917495,S:631
P:2917675,S:5012
P:2917699,S:5197
P:2917801,S:5535
P:2917849,S:3
P:2917873,S:635
P:2917972,O:2
P:2918119,S:4981
P:2918170,O:2
P:2918350,O:2
P:2918388,O:2
P:2918792,S:2331
P:2918862,S:5527
P:2918910,S:677
P:2919024,S:5012
P:2919048,S:3830
P:2919072,S:5197
P:2919123,O:2
P:2919395,S:3
P:2919419,O:3947422
P:2919720,S:945
P:2919747,O:2
P:2919901,S:5540
P:2919995,S:5637
P:2920019,S:5637
P:2920067,S:677
P:2920299,O:2
P:2920407,O:3947422
P:2920429,S:2207
P:2920669,S:73
P:2920771,S:1023
P:2920795,S:825
P:2920819,S:5236
P:2920846,O:2
P:2920969,S:111
P:2921054,S:5070
P:2921078,S:5197
P:2921150,S:558
P:2921174,S:4981
P:2921201,O:2
P:2921335,S:5008
P:2921359,S:456
P:2921383,S:5012
P:2921547,S:945
P:2921672,S:5540
P:2921739,O:2
P:2921812,S:5523
P:2922173,S:5008
P:2922197,S:558
P:2922413,S:3713
P:2922714,S:5523
P:2922762,S:5012
P:2922834,S:5236
P:2923089,S:5008
P:3035927,O:2
P:3036223,S:5144
P:3036415,S:1176
P:3036568,O:2
P:3036661,S:604
P:3036731,S:5144
P:3037218,S:604
P:3037571,S:558
P:3037621,S:5144
P:3037668,S:5144
P:7109318,O:2
P:500827,O:2
P:500983,O:2
P:501022,O:2
P:501100,O:2
P:501178,O:2
P:501217,O:2
P:501256,O:2
P:501607,O:2
P:501646,O:2
P:501724,O:2
P:501999,O:2
P:502038,O:2
P:502077,O:2
P:502233,O:2
P:502272,O:2
P:502311,O:2
P:502350,O:2
P:502430,O:2
P:564184,S:5144
P:564232,S:825
P:564256,S:3695
P:564352,S:5617
P:564376,S:5617
P:564448,S:5617
P:564472,S:5617
P:564520,S:5523
P:564568,S:87
P:564760,S:5529
P:564784,S:5012
P:564832,S:5529
P:564904,S:4990
P:565000,S:5012
P:565144,S:5533
P:565264,S:5533
P:565288,S:5006
P:565312,S:5236
P:565384,S:5004
P:565480,S:5535
P:565504,S:5535
P:565552,S:2331
P:565576,S:2331
P:565624,S:2331
P:565648,S:2331
P:565672,S:2331
P:565696,S:2331
P:565720,S:2331
P:565840,S:40
P:565984,S:456
P:566008,S:374
P:566128,S:391
P:566152,S:391
P:566224,S:5533
P:566248,S:5523
P:566272,S:945
P:566416,S:677
P:566513,S:5535
P:566537,S:5535
P:566561,S:558
P:566633,S:945
P:566681,S:5523
P:566705,S:5535
P:566729,S:5012
P:566753,S:5533
P:566873,S:4981
P:566897,S:456
P:566945,S:4981
P:566969,S:4981
P:566993,S:4981
P:567017,S:5535
P:567113,S:5535
P:567161,S:5533
P:567185,S:5537
P:567209,S:5322
P:567233,S:3634
P:567257,S:5535
P:567449,S:5535
P:567473,S:5535
P:567497,S:87
P:567522,S:5236
P:567546,S:5236
P:567594,S:5535
P:567618,S:5540
P:567810,S:4721
P:567978,S:5012
P:568074,S:5322
P:568218,S:5533
P:568242,S:5540
P:568266,S:5535
P:568314,S:5535
P:568386,S:5012
P:568506,S:2331
P:568602,S:4721
P:568674,S:945
P:568770,S:5525
P:568818,S:4558
P:568866,S:3830
P:568890,O:7349511
P:568934,O:7349511
P:568956,S:5533
P:569052,S:5197
P:569100,S:5535
P:569197,S:4990
P:569221,S:5635
P:569245,S:87
P:569317,S:5012
P:569341,S:5012
P:569389,S:5182
P:569629,S:5535
P:569749,S:1173
P:569797,S:631
P:570013,S:5535
P:570061,S:3741
P:570109,S:5635
P:570229,S:5537
P:570301,S:5535
P:570349,S:456
P:570373,S:1176
P:570397,S:90
P:570469,S:5535
P:570493,S:5535
P:570517,S:3361
P:570613,S:5523
P:570637,S:5533
P:570757,S:5637
P:570781,S:5535
P:570853,S:5112
P:570925,S:677
P:570973,S:677
P:571139,S:3830
P:571235,S:5635
P:571379,S:1176
P:571403,S:5012
P:571427,S:5012
P:571451,S:5012
P:571475,S:5012
P:571499,S:5012
P:571523,S:5012
P:571547,S:5012
P:571571,S:5012
P:571595,S:5012
P:571619,S:5012
P:571643,S:5012
P:571667,S:5012
P:571691,S:5012
P:571739,S:5012
P:571763,S:5012
P:571787,S:5012
P:571811,S:5012
P:571835,S:5012
P:571859,S:5637
P:571955,S:3830
P:572172,S:5236
P:572340,S:5012
P:572364,S:5635
P:572388,S:635
P:572484,S:456
P:572508,S:4558
P:572580,S:3830
P:572604,S:5537
P:572628,S:5637
P:572650,S:5197
P:572794,S:5540
P:572842,S:5535
P:572866,S:3394
P:572890,S:5537
P:572914,S:5537
P:572962,S:5537
P:573034,S:558
P:573082,S:5012
P:573250,S:5012
P:573274,S:5540
P:573394,S:5523
P:573418,S:5012
P:573442,S:5012
P:1392600,S:558
P:1392652,S:5144
P:1392807,S:5144
P:1393021,S:5070
P:1393076,S:1176
P:1393128,S:5070
P:1393180,S:1173
P:1393231,S:1173
P:1393284,S:1173
P:1393339,S:3372
P:1393391,S:558
P:1393654,S:1176
P:1393974,S:1173
P:1394024,S:1176
P:1394436,S:5527
P:1394793,S:5144
P:1394893,S:5070
P:1395124,S:3372
P:1395174,S:1176
P:1395224,S:1176
P:1395387,S:5144
P:1395440,S:604
P:1395491,S:604
P:2912854,O:7349547
P:2912876,O:7349547
P:2912898,O:7349547
P:2912920,O:7349547
P:2913008,O:3947422
P:2913239,O:55451
P:2913287,S:4560
P:2913518,O:3947422
P:2913666,S:5535
P:2914236,S:5635
P:2914372,O:2
P:2914544,S:5533
P:2914688,S:5012
P:2914836,S:5535
P:2914875,S:5535
P:2914947,S:391
P:2914971,S:391
P:2915240,S:5535
P:2915375,S:1173
P:2915447,S:5012
P:2915471,O:3947523
P:2915561,S:5533
P:3035168,S:5144
P:3035333,S:5535
P:500046,O:2
P:500241,O:2
P:500280,O:2
P:500398,O:2
P:500437,O:2
P:500515,O:2
P:4900674,O:3947523
P:4903548,S:5197
P:4959147,S:5012
P:4985566,S:5619
P:5000887,S:2331
P:5001115,S:945
P:5001143,S:945
P:5002499,S:5537
P:5009694,S:5322
P:5050599,S:2331
P:5050613,S:2331
P:5050631,S:2331
P:5050704,S:2331
P:5051890,S:4763
P:5066052,S:5527
P:5081803,S:825
P:5082529,S:456
P:5086057,S:5182
P:5086745,S:2331
P:5088733,O:2
P:5089055,S:5537
P:5090013,S:456
P:5120187,O:2
P:5156280,O:55451
P:5198992,S:374
P:5200848,S:1249
P:5201160,S:2331
P:5201223,S:2331
P:5206199,S:5533
P:5207672,S:4763
P:5217710,S:2331
P:5217770,S:2331
P:5217827,S:2331
P:5218045,S:2331
P:5222308,S:2331
P:5225265,S:5619
P:5227121,S:5619
P:5227247,O:3947422
P:5228256,S:5619
P:5231387,O:2
P:5231409,O:2
P:5231431,O:2
P:5231475,O:2
P:5231519,O:2
P:5231565,O:2
P:5234026,S:945
P:5235201,S:5100
P:5237270,S:5008
P:5237522,S:1023
P:5237723,S:1023
P:5240104,O:3947422
P:5242802,S:5523
P:5279112,S:4697
P:5285685,S:5537
P:5286048,S:5540
P:5286909,O:2
P:5288651,S:5535
P:5288665,S:5533
P:5296754,S:3713
P:5297281,O:2
P:5297341,O:2
P:5297730,S:2331
P:5298034,S:558
P:5298941,S:5236
P:5302465,S:1249
P:5303057,O:2
P:5303079,O:2
P:5303101,O:2
P:5305932,S:5537
P:5308585,S:5535
P:5309491,S:5531
P:5311238,S:5533
P:5315118,S:739
P:5321185,S:5535
P:5332403,S:4990
P:5332786,S:1249
P:5333775,S:5070
P:5333892,S:1176
P:5338017,S:456
P:5338650,O:2
P:5338705,O:2
P:5338738,O:2
P:5339507,S:4990
P:5350436,S:5540
P:5350884,S:5540
P:5351875,S:5540
P:5372424,S:739
P:5373776,O:2
P:5373843,O:2
P:5373865,O:2
P:5373887,O:2
P:5373909,O:2
P:5373953,O:2
P:5373997,O:2
P:5374274,S:5322
P:5377044,S:945
P:5377266,S:4697
P:5379610,S:456
P:5380670,O:2
P:5389562,S:35
P:5391288,O:2
P:5393423,S:456
P:5393838,S:5529
P:5960323,S:5535
P:5960765,S:5008
P:5960970,S:5108
P:5961451,S:5535
P:5962221,S:945
P:5962521,S:2331
P:5962842,S:2331
P:5963578,S:2331
P:6014833,S:456
P:6015062,S:456
P:6075560,O:2
P:6358726,S:4558
P:6414889,S:739
P:6414980,S:35
P:6497984,O:2
P:6498012,O:2
P:6498040,O:2
P:6498099,O:2
P:6498130,O:2
P:6498267,O:2
P:7102846,S:5535
P:7103288,S:5070
P:7106255,S:456
P:7106270,S:456
P:7106525,S:456
P:7108854,S:5529
P:7110933,S:5535
P:7112244,S:4558
P:7139213,O:2
P:7139243,O:2
P:7139273,O:2
P:7139303,O:2
P:7139333,O:2
P:7139363,O:2
P:7139393,O:2
P:7139947,S:5535
P:7146901,O:2
P:7151964,S:5533
P:7152001,S:5533
P:7153385,O:2
P:7154212,S:558
P:7158325,S:4560
P:7160931,S:5533
P:7177283,S:5523
P:7179545,S:4558
P:7181184,S:5540
P:7186703,S:2331
P:7186729,S:2331
P:7186755,S:2331
P:7186781,S:2331
P:7187664,O:2
P:7187694,O:2
P:7187874,O:2
P:7187904,O:2
P:7188087,O:2
P:7190548,S:5132
P:7197009,S:5322
P:7198313,S:5535
P:7199970,S:374
P:7200076,S:5100
P:7201843,O:3947422
P:7204163,S:4981
P:7204362,S:4994
P:7204470,S:4994
P:7204733,S:4994
P:7212073,S:5533
P:7215069,S:35
P:7215241,S:1249
P:7215256,S:1249
P:7215303,S:1249
P:7215863,S:3372
P:7216341,S:4981
P:7220438,O:2
P:7220468,O:2
P:7220498,O:2
P:7220528,O:2
P:7220558,O:2
P:7220648,O:2
P:7221407,S:5108
P:7221949,O:2
P:7225287,S:677
P:7225496,S:374
P:7226544,S:5540
P:7226932,S:5236
P:7228265,O:2
P:7228295,O:2
P:7228325,O:2
P:7231199,S:5540
P:7231231,S:5540
P:7235879,S:35
P:7235967,S:5012
P:7239121,S:5531
P:7241490,S:4981
P:7243492,S:1249
P:7243981,S:87
P:7244526,O:2
P:7244556,O:2
P:7244586,O:2
P:7244676,O:2
P:7244955,S:5100
P:7245811,S:4994
P:7245839,S:5070
P:7246227,S:5533
P:7247611,S:945
P:7250804,O:5246321
P:7250874,O:5246321
P:7250929,O:5246321
P:7255000,O:2
P:7262428,S:5540
P:7264507,O:2
P:7265848,O:2
P:7272315,O:2
P:7273352,S:4560
P:7286192,S:5533
P:7288954,S:5535
P:7289475,S:945
P:7299122,S:5540
P:7299844,O:2
P:7299874,O:2
P:7299934,O:2
P:7299964,O:2
P:7299994,O:2
P:7300024,O:2
P:7300100,O:2
P:7301126,S:3398
P:7301452,S:5012
P:7303999,S:5540
P:7304132,S:558
P:7304173,S:677
P:7305207,S:1249
P:7306708,S:1249
P:7307137,S:5070
P:7307182,S:5070
P:7307290,S:5132
P:7309119,O:2
P:7313279,S:739
P:7313645,S:3396
P:7317213,O:3947537
P:7323214,S:5012
P:7323633,O:2
P:7323663,O:2
P:7323753,O:2
P:7326179,S:5540
P:7326258,S:5012
P:7327703,S:5322
P:7327929,S:5529
P:7328017,S:945
P:7328068,S:5540
P:7330135,O:2
P:7330165,O:2
P:7330195,O:2
P:7330225,O:2
P:7330255,O:2
P:7330285,O:2
P:7330909,S:945
P:7334430,S:3396
P:7341153,S:2331
P:7341468,S:4558
P:7341921,S:677
P:7345093,S:35
P:7345122,S:5070
P:7345334,S:5106
P:7345556,S:5070
P:7345622,S:5070
P:7346159,O:2
P:7346255,O:2
P:7346313,O:2
P:7346345,O:2
P:7351831,O:3947422
P:7351878,O:3947422
P:7351888,O:3947422
P:7351914,S:4575
P:7352124,O:2
P:7354084,S:5052
P:7354089,S:5197
P:7354135,S:5197
P:7354148,S:5197
P:7354152,S:5116
P:7354235,O:CC
P:7354241,O:CC
P:7354247,O:CC
P:7354253,O:CC
P:7354349,O:CC
P:7354373,O:CC
P:7354379,O:CC
P:7354391,O:5073482
P:7354617,S:5540
P:7354621,S:5540
P:7354623,S:3634
P:7354898,S:5100
P:7356754,S:4969
P:7356764,S:1173
P:7356878,S:5070
P:7356880,S:1176
P:7357236,S:4763
P:7357351,S:5535
P:7357396,S:5535
P:7357402,S:5535
P:7357453,S:5182
P:7359480,S:4575
P:7359519,S:5533
P:7359521,S:615
P:7359534,S:5108
P:7359541,S:5108
P:7359549,S:5533
P:7359561,S:615
P:7359715,S:3741
P:7359719,S:3741
P:7359727,S:3741
P:7360103,S:5523
P:7360271,S:391
P:7360558,S:5008
P:7361337,S:72
P:7361841,S:945
P:7361884,S:5140
P:7361910,S:5070
P:7362295,S:72
P:7362810,S:5106
P:7362838,S:5197
P:7362847,S:5197
P:7362852,S:5197
P:7363132,S:558
P:7364805,O:2
P:7365297,S:72
P:7365317,S:5535
P:7365361,S:615
P:7365408,S:5106
P:7365418,S:739
P:7365467,S:5112
P:7365652,S:5012
P:7365730,S:5540
P:7365772,S:5012
P:7365791,S:3398
P:7365806,S:3398
P:7365819,S:3398
P:7365851,S:2331
P:7365853,S:2331
P:7365882,S:2331
P:7365890,S:2331
P:7365898,S:2331
P:7365905,S:2331
P:7365909,S:2331
P:7365913,S:2331
P:7366032,S:90
P:7366538,O:2
P:7367435,S:5535
P:7367654,S:5018
P:7367666,S:3398
P:7367709,S:3398
P:7367809,S:615
P:7367830,S:558
P:7368454,S:5012
P:7368669,S:4767
P:7368678,S:4767
P:7368701,S:5132
P:7369086,S:5070
P:7369088,S:5070
P:7369699,S:4721
P:7369707,S:5018
P:7369709,S:3695
P:7369711,S:5540
P:7369729,S:5108
P:7369752,S:2331
P:7369757,S:5112
P:7370761,S:5132
P:7370763,S:4969
P:7370779,S:4969
P:7371398,S:73
P:7371412,S:5070
P:7371417,S:3741
P:7372128,S:3741
P:7372193,S:2331
P:7372207,S:2331
P:7372261,O:2
P:7372688,O:3947422
P:7372698,O:3947422
P:7372703,O:6018171
P:7372886,S:5182
P:7372920,S:5008
P:7373068,S:5540
P:7373295,S:5070
P:7373300,S:615
P:7373302,S:5070
P:7373619,S:612
P:7373917,S:5052
P:7374310,S:5012
P:7374318,S:40
P:7374323,S:5197
P:7374325,S:5533
P:7374380,S:5012
P:7374382,S:615
P:7374444,S:558
P:7374454,S:1023
P:7374458,S:5012
P:7375318,S:558
P:7375517,S:3741
P:7375537,S:5012
P:7375701,S:739
P:7376082,S:5108
P:7376127,S:2331
P:7376139,S:2331
P:7376705,S:5100
P:7376718,S:950
P:7376722,S:643
P:7376835,O:3947422
P:7376875,O:3947422
P:7376917,S:5070
P:7376933,S:5070
P:7377554,S:3398
P:7377559,S:3398
P:7377831,S:2331
P:7377999,S:3396
P:7378001,S:3361
P:7378028,S:739
P:7379092,S:5531
P:7379384,S:4988
P:7379669,S:5108
P:7379676,S:5108
P:7379748,S:5535
P:7380441,S:558
P:7381840,S:5236
P:7381845,S:5236
P:7381856,S:5533
P:7381867,S:5533
P:7381881,S:5533
P:7382291,O:2
P:7382327,O:2
P:7382339,O:2
P:7382345,O:2
P:7382351,O:2
P:7382357,O:2
P:7382363,O:2
P:7382369,O:2
P:7382511,O:2
P:7382523,O:2
P:7382535,O:2
P:7382697,S:4988
P:7382915,S:5197
P:7382918,S:5197
P:7382921,S:5197
P:7382943,S:5197
P:7383056,S:5112
P:7383440,S:5070
P:7383511,S:5012
P:7383709,S:3
P:7383870,S:3
P:7384330,S:2331
P:7384346,S:5529
P:7384503,S:5012
P:7384670,S:5537
P:7384716,S:3741
P:7384748,S:5182
P:7385897,S:3398
P:7385902,S:72
P:7385960,S:3
P:7386070,S:35
P:7386139,S:643
P:7386908,S:374
P:7386910,S:3
P:7387072,O:3947422
P:7387138,S:87
P:7387164,O:2
P:7387170,O:2
P:7387176,O:2
