prop_tag,auth_tag
P:381213,D:73938
P:381426,D:148134
P:382732,D:73584
P:383070,D:141483
P:383450,D:141527
P:383460,D:141375
P:383539,D:74050
P:384565,D:141497
P:385774,D:74397
P:386778,D:141490
P:387934,D:141440
P:388148,D:74397
P:388149,D:74397
P:388676,D:141383
P:388915,D:141562
P:389127,D:73666
P:391247,D:73653
P:392094,D:74171
P:394494,D:141550
P:394833,D:141527
P:395913,D:73778
P:399304,D:74291
P:399525,D:74173
P:400331,D:4931
P:400684,D:73463
P:402633,D:141525
P:403932,D:74423
P:404071,D:141384
P:405233,D:74172
P:405365,D:141527
P:405974,D:74777
P:406476,D:74010
P:406482,D:74010
P:407105,D:74010
P:407891,O:78
P:408349,O:78
P:409276,D:151208
P:411253,D:73793
P:411443,O:78
P:412074,D:74075
P:414706,D:74372
P:415932,D:73555
P:417290,D:141401
P:418632,D:74319
P:419014,O:78
P:420230,D:74784
P:422746,D:141507
P:422752,D:74171
P:422776,D:141401
P:422927,D:74111
P:425166,D:74806
P:425996,D:141556
P:426512,D:141559
P:427068,D:73463
P:427749,D:74787
P:427868,D:141503
P:429794,D:74554
P:431470,D:74813
P:431844,D:74230
P:432675,D:141498
P:434725,D:154417
P:434897,D:141490
P:434939,D:73584
P:435213,D:141482
P:436097,O:6502
P:437116,O:78
P:437264,D:152606
P:437316,D:141508
P:438071,D:73666
P:438638,D:152606
P:439055,D:141383
P:439075,D:141425
P:439797,D:73434
P:439900,D:141372
P:440091,O:78
P:440304,D:73507
P:441504,D:73507
P:442697,D:74372
P:443713,D:73434
P:443813,O:6726
P:444410,D:129618
P:444751,O:78
P:445570,D:3155
P:446329,D:74265
P:446577,D:133373
P:446723,D:141548
P:447075,D:73778
P:447315,O:253
P:448154,D:73556
P:449011,D:141550
P:449888,D:141401
P:452737,O:78
P:453251,D:141374
P:458744,D:74210
P:458849,D:141401
P:461043,D:74665
P:463636,D:74119
P:463929,D:73458
P:463931,D:73458
P:464348,D:73428
P:465326,O:78
P:465659,D:129618
P:465963,D:133373
P:467269,D:73930
P:467322,D:141490
P:467752,D:133374
P:469625,D:74787
P:470659,D:141548
P:470818,O:78
P:472238,D:141413
P:473100,D:74230
P:473120,D:74650
P:474540,D:141383
P:474875,D:74210
P:474888,D:141473
P:474890,D:141473
P:474905,D:141473
P:474907,D:141473
P:475193,O:78
P:475577,D:146613
P:476189,D:141401
P:476595,D:141487
P:476806,D:74376
P:476823,D:73535
P:477943,D:141529
P:478835,D:141398
P:478836,D:141398
P:480609,D:74693
P:480627,D:73676
P:482211,D:74173
P:482616,D:74177
P:483648,D:141430
P:483705,O:78
P:483810,D:74027
P:484234,D:74693
P:484330,D:73883
P:484645,O:78
P:484852,D:129618
P:485861,D:74050
P:486477,D:73486
P:486603,D:141490
P:486908,D:74650
P:487698,D:139212
P:488829,D:74650
P:488830,D:74650
P:488831,D:74650
P:489627,D:74847
P:489887,D:74847
P:490263,O:78
P:490895,D:160518
P:490935,D:160518
P:491023,D:141385
P:491042,D:73466
P:491091,D:74848
P:491201,D:73584
P:491251,D:141472
P:491314,D:74372
P:491316,D:74372
P:491333,D:74372
P:491348,D:74372
P:491399,D:74124
P:491421,D:88950
P:491824,D:141492
P:491956,D:160660
P:491998,D:160564
P:492008,D:73584
P:492012,D:73584
P:492130,D:141562
P:492474,O:78
P:492935,D:160629
P:493169,D:160534
P:493298,D:141483
P:493301,D:141483
P:493350,D:141400
P:493537,D:141490
P:493604,D:160620
P:493612,D:160536
P:493685,D:73535
P:493695,D:141515
P:494013,D:74650
P:494226,D:74581
P:494369,D:162174
P:494874,D:129618
P:495614,D:73666
P:496101,D:141430
P:496374,D:74566
P:496416,D:73676
P:496975,D:160575
P:497380,D:160620
P:497401,D:160578
P:497441,D:141483
P:497453,D:141482
P:497512,D:88950
P:497920,D:160563
P:497988,D:141401
P:498178,D:160637
P:498356,D:141529
P:498603,D:160629
P:498619,D:141408
P:498672,D:89282
P:499029,D:162175
P:499217,D:160664
P:499731,D:141527
P:499792,D:129618
P:499799,D:160675
P:500183,D:73768
P:500768,D:141372
P:500954,D:129037
P:501081,O:78
P:501872,D:160601
P:501893,D:151208
P:502131,D:141515
P:502437,D:163321
P:502567,D:141400
P:502570,D:160643
P:503350,D:160620
P:503505,D:160620
P:503670,D:160639
P:503949,D:160555
P:505068,D:160598
P:505244,D:129618
P:506473,D:141455
P:506881,D:141500
P:506898,D:129037
P:507887,D:160675
P:508669,O:78
P:508965,D:160625
P:510332,D:141390
P:511076,D:160541
P:511164,D:74833
P:511600,D:141401
P:512027,D:160563
P:512820,D:162174
P:513258,D:141413
P:513261,D:141413
P:513436,D:141379
P:513471,D:141482
P:513746,D:141401
P:513755,D:141421
P:515017,D:141480
P:515352,O:78
P:515390,O:78
P:515559,D:74421
P:515874,O:78
P:515976,D:141450
P:516227,D:74374
P:516690,D:141401
P:516802,D:160636
P:516816,D:74163
P:517167,D:80920
P:517522,D:160563
P:518046,D:160676
P:519564,D:146949
P:521183,D:74537
P:521950,D:73458
P:522267,D:73701
P:522326,D:163321
P:522526,D:74793
P:523483,D:141385
P:523656,D:141384
P:524102,D:80920
P:524763,O:78
P:525561,D:74428
P:525924,D:160571
P:526536,D:160649
P:526897,D:160671
P:526917,D:160680
P:528034,D:74163
P:528107,D:160543
P:528544,D:74385
P:528623,D:160629
P:529393,D:160593
P:529793,D:160665
P:529999,D:141385
P:530024,D:73805
P:530442,D:141401
P:530527,D:160655
P:531106,D:160643
P:531145,D:141450
P:533049,D:160527
P:533105,D:160527
P:533705,D:74173
P:533848,D:74039
P:533852,D:160573
P:533885,D:81232
P:533903,D:160545
P:534019,D:160633
P:534145,D:73447
P:534624,D:160621
P:534638,D:160620
P:535195,D:160607
P:535204,D:67138
P:535552,D:74140
P:536015,D:141372
P:536069,D:74095
P:536108,D:160602
P:536379,D:160598
P:536797,D:166401
P:536991,D:141405
P:538196,D:160655
P:538609,D:81232
P:538610,D:81232
P:538612,D:81232
P:539987,D:160556
P:540322,D:74047
P:540821,D:74655
P:540964,O:78
P:541135,D:160620
P:541855,D:74075
P:541857,D:160651
P:542211,D:133374
P:542212,D:133374
P:542264,D:160535
P:542743,D:73535
P:542783,D:160518
P:543042,D:160638
P:543273,D:89282
P:543744,D:160677
P:543810,D:166401
P:543885,D:133374
P:544202,D:160578
P:544217,D:160653
P:544337,D:94931
P:544634,D:166401
P:544639,D:141430
P:544757,D:160610
P:545232,D:160515
P:545524,D:160620
P:545603,D:141558
P:545705,D:74163
P:546169,D:141430
P:546210,D:160536
P:546443,D:160677
P:547009,D:74395
P:547078,D:160602
P:547882,D:74163
P:547885,D:74163
P:548161,D:74787
P:548426,D:141518
P:548494,D:141431
P:548498,D:74359
P:549345,D:133374
P:549573,D:74173
P:549668,D:74650
P:550262,D:160575
P:550391,D:141490
P:550398,D:160544
P:550441,D:141515
P:550880,D:141438
P:551456,D:160613
P:551602,D:67138
P:551686,D:136811
P:551735,D:74400
P:551791,D:141421
P:551798,D:62881
P:551824,D:160597
P:552474,D:89282
P:552525,D:160613
P:553171,D:148134
P:553841,D:129618
P:554134,D:73584
P:554337,D:74696
P:554372,D:149327
P:555239,D:141482
P:555732,D:148134
P:556060,D:74847
P:556239,D:160533
P:556308,D:73584
P:556316,D:160519
P:556576,D:74833
P:556614,D:160514
P:556692,D:148134
P:556702,D:166401
P:556990,D:74537
P:557186,D:74585
P:557207,D:74010
P:557344,D:160580
P:557562,D:160518
P:559138,D:141488
P:559424,O:78
P:559435,O:78
P:560156,D:141379
P:560795,D:160533
P:561539,D:160617
P:561834,D:141447
P:562070,D:160614
P:562426,D:163831
P:562450,D:160565
P:563095,D:160582
P:563517,D:73584
P:563613,D:160533
P:563636,D:160622
P:563953,D:160560
P:563978,O:78
P:564092,O:2003
P:564125,D:74385
P:564126,D:74385
P:564836,D:73924
P:564946,D:160673
P:565659,D:74693
P:566352,D:159238
P:566855,D:141492
P:567588,D:141401
P:567601,D:160654
P:567660,D:149327
P:567835,D:74813
P:568669,D:160655
P:568861,D:160666
P:568882,D:74585
P:569343,D:74847
P:569996,D:74693
P:571218,D:160536
P:572800,D:74847
P:573909,D:141401
P:575959,D:141421
P:576014,D:73568
P:576705,D:160545
P:576911,D:160568
P:577810,D:74140
P:578158,D:4931
P:578757,D:73463
P:578903,D:160512
P:579136,D:159238
P:579944,D:160614
P:581251,D:164361
P:581281,D:160636
P:581562,D:74172
P:581696,O:253
P:583793,D:74665
P:583945,O:78
P:584753,D:160551
P:584843,D:141390
P:584894,D:160655
P:585613,O:5438
P:585730,D:73584
P:585806,O:253
P:585899,D:74173
P:586417,D:73933
P:586491,D:73808
P:586647,D:74197
P:587021,D:160536
P:587116,D:94931
P:587274,D:141470
P:587551,D:160563
P:587983,D:73682
P:588904,D:160559
P:588942,D:173802
P:589173,D:164361
P:589621,D:160509
P:589690,D:160653
P:589873,D:160578
P:589973,O:78
P:590788,D:160511
P:590851,D:74847
P:590864,D:73808
P:590868,D:160570
P:591155,D:160573
P:591366,D:160636
P:591845,D:160509
P:591863,D:73424
P:591864,D:73424
P:591892,D:141438
P:592145,D:160673
P:592522,D:160646
P:592563,D:74382
P:592962,O:78
P:593036,D:160602
P:593065,D:73584
P:593567,D:141515
P:593615,D:74010
P:593616,D:74010
P:593806,D:160573
P:593858,O:78
P:593885,D:74284
P:593980,D:160543
P:594003,D:74428
P:594250,D:141498
P:594251,D:160660
P:595185,D:74171
P:595266,D:160599
P:595397,D:166401
P:595398,D:166401
P:595970,D:160602
P:595972,D:160602
P:595985,D:160654
P:596844,O:78
P:596962,D:74428
P:597238,D:160515
P:597281,D:159237
P:597731,D:73553
P:597866,D:160578
P:597943,D:74262
P:598002,O:78
P:600129,D:73808
P:600365,D:160603
P:600601,D:73434
P:600935,D:74041
P:601044,D:129618
P:601345,D:141401
P:601476,D:73778
P:601739,D:160518
P:601954,D:160515
P:602561,D:160515
P:602907,D:62881
P:602968,D:160567
P:603335,D:74419
P:603442,O:5438
P:603565,D:74210
P:604329,D:163321
P:604557,D:74210
P:604563,D:160509
P:604721,D:160666
P:604927,D:141542
P:605387,D:62881
P:605682,D:129618
P:605829,D:141401
P:606010,D:74847
P:606096,D:73447
P:606097,D:73778
P:606202,D:141423
P:606406,D:74749
P:606407,D:74749
P:606442,D:73584
P:606527,D:73793
P:606599,D:160575
P:606843,D:171621
P:607198,D:81232
P:607256,D:149327
P:607332,D:141488
P:607591,O:78
P:607782,D:171618
P:608360,D:160545
P:608725,D:73482
P:608872,D:133373
P:608916,D:74847
P:609386,D:141430
P:609642,D:74010
P:609729,D:170673
P:610466,D:74366
P:610520,D:141447
P:611051,D:160655
P:611133,D:160581
P:611328,D:164360
P:611444,O:78
P:611493,D:74419
P:611672,D:160559
P:611790,D:160654
P:611976,D:167614
P:612934,D:141527
P:613428,D:74428
P:613763,D:74398
P:613922,D:141515
P:614029,D:160587
P:614115,D:160596
P:614512,D:151208
P:614517,D:73778
P:614635,D:74428
P:615427,D:160509
P:615564,D:74171
P:615742,D:141447
P:616126,D:160565
P:616273,D:92355
P:616989,D:74210
P:617308,D:160636
P:617580,D:160620
P:617631,D:141454
P:617898,D:177282
P:617936,D:94931
P:618055,O:78
P:618199,D:141447
P:618369,D:133374
P:618561,D:160602
P:619168,D:74428
P:619270,D:74173
P:619278,D:160587
P:619458,D:141450
P:620089,D:160565
P:620122,D:160514
P:620216,D:160622
P:620219,D:141447
P:620806,D:160567
P:620971,O:78
P:621197,D:160571
P:621198,D:160571
P:621520,D:160509
P:622088,D:74421
P:622115,D:141472
P:622155,D:141472
P:622648,D:141401
P:622659,D:73666
P:623329,D:160567
P:623378,D:66179
P:623516,D:74039
P:737806,D:160515
P:744115,D:73926
P:749470,O:78
P:786789,D:74833
P:796251,O:81
P:796796,D:74650
P:808800,D:160518
P:808937,O:78
P:816479,D:73434
P:817931,O:78
P:817933,O:78
P:817936,O:78
P:819417,O:78
P:858527,D:74650
P:858893,D:74585
P:860914,O:78
P:860916,O:78
P:944256,D:92346
P:944282,D:74378
P:944286,D:166401
P:945452,D:178958
P:945503,D:160559
P:945554,D:178965
P:945598,D:160570
P:945690,D:74693
P:945880,D:141408
P:945935,D:178826
P:946034,D:178884
P:946065,D:141503
P:946078,D:74471
P:946090,D:141536
P:946208,D:160517
P:946431,D:160610
P:946435,D:178917
P:946458,D:160610
P:946460,D:73486
P:946461,D:73486
P:946471,D:178918
P:946475,D:73466
P:946584,D:160536
P:946625,D:178945
P:946627,D:74210
P:946675,D:178942
P:947642,D:178969
P:947741,D:73483
P:947770,D:160672
P:949035,D:160543
P:949094,D:160655
P:949101,D:141478
P:949106,D:178980
P:949156,D:178970
P:949157,D:178974
P:949163,D:141430
P:949171,D:178861
P:949334,D:178918
P:955556,D:178962
P:955602,D:141563
P:955603,D:141563
P:961511,D:73778
P:961763,D:178924
P:964549,D:74277
P:964584,D:178932
P:964585,D:178932
P:964620,D:141536
P:969166,D:67312
P:994689,D:178858
P:996280,D:162332
P:996854,D:73579
P:1006391,D:178848
P:1027962,D:178846
P:1046197,D:141430
P:1049135,D:73434
P:1049242,D:141430
P:1049430,D:141440
P:1049439,D:178848
P:1050667,D:4931
P:1050668,D:4931
P:1050843,D:74270
P:1050878,D:178965
P:1118519,D:178930
P:1150818,D:178993
P:1151517,D:178999
P:1151559,D:178951
P:1155235,D:163321
P:1188054,D:178849
P:1194675,D:178909
P:1194768,D:141563
P:1195577,D:160651
P:1197842,D:92776
P:1197920,D:178846
P:1198512,D:178998
P:1198842,D:74095
P:1198953,D:178932
P:1199090,D:141536
P:1199800,D:74428
P:1199844,D:178913
P:1199849,D:178953
P:1203220,D:178972
P:1203368,D:141439
P:1203380,D:141428
P:1203390,D:74210
P:1203487,D:160596
P:1203525,D:74172
P:1203558,D:160565
P:1212477,D:160611
P:1212519,D:118594
P:1212562,D:178862
P:1212762,D:81232
P:1214820,D:144523
P:1214911,D:160576
P:1214957,D:178963
P:1215271,D:178850
P:1215291,D:74172
P:1215493,D:178955
P:1215494,D:178955
P:1215522,D:178987
P:1215862,D:159238
P:1228137,D:141536
P:1228516,D:152605
P:1228604,D:73579
P:1228625,D:160426
P:1228711,D:160602
P:1228722,D:74163
P:1228743,D:178876
P:1228864,D:178980
P:1229681,D:160589
P:1229712,D:178953
P:1229820,D:74376
P:1229823,D:74376
P:1230117,D:73535
P:1230254,D:141515
P:1230284,D:73424
P:1234065,D:73655
P:1243780,D:160569
P:1247419,D:187008
P:1266632,D:74172
P:1278732,D:152610
P:1278746,D:141439
P:1278966,D:74210
P:1279064,D:141563
P:1279134,D:81232
P:1279192,D:164359
P:1279362,D:178894
P:1279368,D:129618
P:1279371,D:131943
P:1279436,D:178913
P:1279528,D:178883
P:1279664,D:178972
P:1279973,D:73579
P:1279991,D:74140
P:1280003,D:141535
P:1280113,D:178868
P:1280114,D:178868
P:1280619,D:178938
P:1280674,D:178982
P:1295740,D:178913
P:1295741,D:178913
P:1295926,O:78
P:1299541,D:178841
P:1299560,D:144523
P:1299561,D:144523
P:1299574,D:178871
P:1301095,D:73891
P:1301128,D:178862
P:1301464,D:178904
P:1301756,D:178913
P:1301766,D:141555
P:1302007,D:178944
P:1302252,D:178894
P:1302321,D:178913
P:1302391,D:74010
P:1302514,D:178980
P:1302601,D:178999
P:1306610,D:141430
P:1306668,D:178888
P:1306679,O:78
P:1306688,D:4930
P:1306691,D:178963
P:1307135,D:97707
P:1307136,D:97707
P:1307190,D:141531
P:1307238,D:92346
P:1307375,D:178944
P:1307392,D:178843
P:1307393,D:178843
P:1307508,D:178913
P:1307533,D:178936
P:1307558,D:73584
P:1314816,D:74172
P:1344458,D:160572
P:1384570,D:178916
P:1504395,D:4930
P:1504922,D:178874
P:1508224,D:160509
P:1514155,D:160641
P:1514225,D:93472
P:1518526,D:141389
P:1526900,D:178863
P:1526950,D:160573
P:1526952,D:178875
P:1526989,D:73579
P:1531537,D:73483
P:1537564,D:97707
P:1539906,D:178858
P:1548819,D:178932
P:1548897,D:73568
P:1548926,D:178841
P:1548953,D:178938
P:1549077,D:129618
P:1549108,D:178885
P:1549224,D:144523
P:1549302,D:178964
P:1549329,D:178932
P:1549362,D:178882
P:1554105,D:178913
P:1554110,D:178913
P:1554162,D:141542
P:1555295,D:74570
P:1555317,D:178888
P:1555470,D:160512
P:1570386,D:132504
P:1570685,D:160536
P:1570783,D:178869
P:1570784,D:178869
P:1570793,D:118594
P:1579154,D:141562
P:1579179,D:178913
P:1579496,D:74449
P:1579536,D:160426
P:1579537,D:160426
P:1584972,D:186775
P:1585017,D:178948
P:1585026,D:141560
P:1594121,D:74651
P:1594173,D:178913
P:1594243,D:73793
P:1594319,D:178900
P:1594320,D:178900
P:1594807,D:178913
P:1594809,D:178913
P:1594811,D:178913
P:1594823,D:178913
P:1594882,D:178875
P:1594889,D:178875
P:1594911,O:78
P:1594916,O:78
P:1598389,D:74043
P:1598439,D:178910
P:1598507,D:74752
P:1598572,D:160536
P:1598614,D:73655
P:1598681,D:160570
P:1598847,D:178862
P:1598962,D:160426
P:1599018,D:73466
P:1618130,D:178829
P:1618169,D:74163
P:1618340,D:73486
P:1618343,D:178943
P:1618345,D:178943
P:1618396,D:73483
P:1635551,D:133374
P:1671808,D:160426
P:1671856,D:178826
P:1671977,D:73714
P:1672074,D:74765
P:1672078,D:74765
P:1672148,O:537485
P:1672156,O:537485
P:1672348,D:74273
P:1672403,D:160545
P:1672427,D:141536
P:1672553,D:73579
P:1672705,D:178973
P:1672742,D:178836
P:1672749,D:177282
P:1672794,D:73584
P:1673151,D:73434
P:1700431,D:141536
P:1700432,D:141536
P:1700578,D:178950
P:1700620,D:178842
P:1700626,D:178999
P:1700692,D:74262
P:1700695,D:74262
P:1700889,D:160426
P:1700999,D:178913
P:1701529,D:133373
P:1701531,D:133373
P:1701556,D:178982
P:1701648,D:73584
P:1701725,D:178941
P:1701842,D:178984
P:1701885,D:178894
P:1712736,D:73579
P:1712967,D:178840
P:1713053,D:178962
P:1724716,O:78
P:1724747,O:78
P:1724780,D:73655
P:1733019,D:73778
P:1733072,D:178965
P:1734480,D:160633
P:1734508,D:73720
P:1734799,O:78
P:1736076,D:74650
P:1738531,D:74457
P:1738592,D:73778
P:1738708,D:74428
P:1738740,D:178888
P:1738818,D:178862
P:1741196,D:190149
P:1744967,D:141389
P:1757159,D:141408
P:1783432,D:67138
P:1783574,D:73778
P:1786058,D:141515
P:1806128,D:62881
P:1806309,D:133374
P:1806316,D:178843
P:1806322,D:178932
P:1806324,D:178932
P:1806353,D:73579
P:1806424,D:178875
P:1806430,D:178885
P:1996620,D:178963
P:1996743,D:178963
P:1999565,D:178869
P:2002340,D:178964
P:2003335,D:160536
P:2012935,D:178913
P:2016360,D:178952
P:2016921,D:74383
P:2016953,D:178931
P:2016965,D:178913
P:2017085,D:178993
P:2017462,D:178913
P:2017588,D:178849
P:2017860,D:178912
P:2017941,D:73891
P:2018144,D:178941
P:2018455,D:160631
P:2023864,D:67138
P:2023908,D:178941
P:2024043,D:160607
P:2024070,D:137070
P:2024102,D:141555
P:2024319,O:78
P:2024934,D:141535
P:2025993,D:160545
P:2026148,D:190149
P:2041332,D:178847
P:2052441,D:178955
P:2052490,O:78
P:2052768,D:178926
P:2052807,D:141389
P:2053075,D:160559
P:2053101,D:160666
P:2053337,D:178993
P:2053526,D:73891
P:2054284,D:160571
P:2054292,D:73579
P:2054295,D:178951
P:2054334,D:178864
P:2054446,D:160620
P:2054471,D:74650
P:2054517,D:181316
P:2054604,D:74399
P:2055215,D:178929
P:2055350,O:78
P:2055418,D:178981
P:2055422,D:141470
P:2055566,D:178978
P:2055590,D:178993
P:2055677,D:141555
P:2055721,D:74428
P:2055775,D:160561
P:2055803,D:178980
P:2055895,D:179000
P:2056234,D:160517
P:2056309,D:178846
P:2056344,D:73486
P:2056525,D:62881
P:2056568,D:160611
P:2056690,D:146788
P:2056691,D:178936
P:2056700,D:178831
P:2056804,D:152610
P:2056868,D:74253
P:2057427,D:160517
P:2057435,D:141507
P:2057504,D:178981
P:2057551,D:73655
P:2057609,D:178863
P:2057862,D:178948
P:2057989,D:178832
P:2058162,D:178894
P:2058274,D:141517
P:2058282,D:178980
P:2058493,D:74283
P:2074371,D:160578
P:2074374,D:141430
P:2074376,D:73568
P:2074378,D:73568
P:2074466,D:129618
P:2074608,D:178932
P:2074610,D:178932
P:2074611,D:178932
P:2074631,D:141408
P:2074843,D:160565
P:2074862,D:141555
P:2074872,D:74253
P:2074888,D:73666
P:2074941,D:160676
P:2074969,D:141536
P:2074987,D:178861
P:2075024,D:178932
P:2075033,D:178932
P:2075036,D:178932
P:2075448,O:78
P:2075449,O:78
P:2075450,O:78
P:2075519,O:537337
P:2075600,D:178913
P:2075601,D:178913
P:2075627,D:178932
P:2075632,D:178932
P:2075707,D:178932
P:2075801,D:73655
P:2075812,D:178862
P:2075821,D:178866
P:2075832,D:178932
P:2075835,D:178932
P:2076059,D:178932
P:2076063,D:178932
P:2076072,D:178932
P:2076075,D:178932
P:2076078,D:178932
P:2076082,D:178932
P:2076089,D:178932
P:2076110,D:178932
P:2076596,D:74428
P:2076616,D:178965
P:2076621,D:178965
P:2076786,D:178988
P:2076876,D:74856
P:2076877,D:74856
P:2076931,D:193165
P:2076943,D:193165
P:2076947,D:193165
P:2076964,D:167493
P:2077071,O:78
P:2077165,D:189593
P:2077239,D:160636
P:2077360,D:160426
P:2077410,D:178964
P:2077467,D:178831
P:2077498,D:141383
P:2077529,D:193165
P:2077537,D:193165
P:2077580,D:73579
P:2077721,D:74862
P:2077725,D:178931
P:2078013,D:178846
P:2078107,D:160565
P:2078145,D:74428
P:2078166,D:178964
P:2078198,D:181316
P:2078336,D:178884
P:2078431,D:178825
P:2078437,D:178962
P:2078459,D:73434
P:2078554,D:141401
P:2078570,D:160570
P:2078640,D:73666
P:2078693,D:204534
P:2078743,D:167493
P:2078747,D:178993
P:2078854,D:73579
P:2078902,D:178978
P:2079009,D:141507
P:2079046,D:160677
P:2079068,D:178835
P:2079071,D:178835
P:2079104,D:178919
P:2079265,D:178848
P:2079356,D:141429
P:2079477,D:160570
P:2079496,D:141536
P:2079509,D:178963
P:2079539,D:160559
P:2079549,D:178965
P:2079560,D:152610
P:2079568,O:78
P:2079570,D:93083
P:2079600,D:178945
P:2079673,D:178911
P:2079778,O:78
P:2079779,O:78
P:2079781,O:78
P:2079826,D:141507
P:2079851,D:178835
P:2079856,D:160637
P:2080294,D:178861
P:2080298,D:178894
P:2080313,D:178891
P:2080354,D:178956
P:2080470,O:78
P:2080538,D:178893
P:2080737,D:178850
P:2080794,D:178877
P:2080955,D:141536
P:2081105,D:178946
P:2081127,D:73579
P:2081254,D:137853
P:2081305,D:67312
P:2081306,D:67312
P:2081317,D:178990
P:2081522,D:160588
P:2081544,D:141440
P:2081598,D:94931
P:2081600,D:178941
P:2081669,D:160512
P:2081671,D:178826
P:2081829,D:74585
P:2081903,D:178948
P:2081916,O:78
P:2082058,D:178869
P:2082060,D:178869
P:2082147,D:178862
P:2082217,D:141401
P:2082282,D:73483
P:2082292,O:78
P:2082422,D:81232
P:2082470,D:178893
P:2082549,D:178981
P:2082731,D:118594
P:2082972,D:178879
P:2083388,D:141445
P:2083391,D:178860
P:2083394,D:178865
P:2083402,D:160677
P:2083403,D:160677
P:2083429,D:160677
P:2083630,D:160426
P:2083790,D:141536
P:2083811,D:141536
P:2083823,D:141536
P:2083827,D:178980
P:2083872,D:163321
P:2083895,D:178846
P:2084002,D:178940
P:2084145,D:167493
P:2084147,D:167493
P:2084216,D:178952
P:2084392,O:253
P:2084507,D:178865
P:2084517,D:178848
P:2084739,D:178868
P:2084742,D:164359
P:2084960,D:178993
P:2084970,D:178938
P:2084976,D:178840
P:2085124,D:167493
P:2085249,D:144523
P:2085250,D:144523
P:2085444,D:178898
P:2085577,D:160636
P:2085578,D:160636
P:2085590,D:178973
P:2085595,D:92346
P:2085638,D:160426
P:2085640,D:160426
P:2085645,D:160426
P:2085646,D:160426
P:2085647,D:160426
P:2085649,D:160426
P:2085650,D:160426
P:2085699,D:178913
P:2085940,D:178894
P:2086077,D:141536
P:2086081,D:141536
P:2086141,D:163831
P:2086168,D:178997
P:2086220,D:178887
P:2086221,D:74862
P:2086379,D:178907
P:2086838,D:129618
P:2087096,D:204456
P:2087154,D:178919
P:2087161,D:178938
P:2087763,D:141536
P:2087771,D:141536
P:2087957,D:178865
P:2088367,D:160640
P:2088399,D:141430
P:2088445,D:178948
P:2088653,D:178884
P:2088737,D:160639
P:2088776,D:178946
P:2089024,D:136811
P:2089092,D:141516
P:2089094,O:78
P:2089141,D:141398
P:2089324,D:73579
P:2089529,D:178826
P:2089536,D:178978
P:2089537,D:178978
P:2089581,D:141408
P:2090162,D:141536
P:2090339,D:178986
