from,to,weight
CD:160508,CP:2195665,1.0
CD:207176,CP:2195673,0.25
CD:178925,CP:2195738,0.25
CD:204488,CP:2195763,0.25
CD:178975,CP:2195836,0.25
CD:204550,CP:2195847,0.25
CD:164360,CP:2195870,0.25
CD:204400,CP:2195908,0.25
CD:204400,CP:2195909,0.25
CD:204361,CP:2195992,0.25
CD:204472,CP:2196018,0.25
CD:204364,CP:2196107,0.25
CD:204435,CP:2196157,1.0
CD:204376,CP:2196339,1.0
CD:204529,CP:2196394,0.25
CD:204467,CP:2196406,0.5
CD:204444,CP:2196476,0.0
CD:74161,CP:2196504,0.25
CD:206231,CP:2196571,0.25
CD:204430,CP:2196586,0.5
CD:204457,CP:2196699,0.25
CD:178952,CP:2196730,0.25
CD:204359,CP:2196735,0.25
CD:178959,CP:2196795,0.25
CD:141450,CP:2196809,0.25
CD:178975,CP:2196833,1.0
CD:204524,CP:2196861,0.25
CD:204477,CP:2196880,0.25
CD:216545,CP:2196991,1.0
CD:122974,CP:2197170,0.25
CD:204397,CP:2197238,0.25
CD:204428,CP:2197247,0.25
CD:204473,CP:2197276,0.25
CD:204415,CP:2197322,0.25
CD:204496,CP:2197427,0.25
CO:78,CP:2197504,0.75
CD:166402,CP:2197579,0.25
CD:204529,CP:2197697,0.25
CD:204351,CP:2197797,0.25
CD:178934,CP:2197910,0.25
CD:160511,CP:2197918,0.25
CD:205476,CP:2198011,0.25
CD:141508,CP:2198027,0.25
CD:74158,CP:2198216,0.25
CD:178981,CP:2198219,0.25
CD:132504,CP:2198306,0.25
CD:204487,CP:2198310,0.25
CD:204488,CP:2198320,0.25
CD:204488,CP:2198326,0.0
CD:204488,CP:2198335,0.25
CD:74585,CP:2198398,0.0
CD:143632,CP:2198422,0.25
CD:141335,CP:2198424,0.25
CD:204355,CP:2198464,0.25
CD:207309,CP:2198488,0.25
CO:253,CP:2198615,0.25
CD:204472,CP:2198621,0.25
CD:81297,CP:2198698,0.25
CD:204472,CP:2198751,0.25
CD:204372,CP:2198835,0.25
CO:78,CP:2198856,1.0
CD:204377,CP:2198967,1.0
CD:178832,CP:2199009,1.0
CD:204521,CP:2199048,0.0
CD:204359,CP:2199133,0.25
CD:160575,CP:2199158,0.0
CD:204505,CP:2199161,0.75
CD:204373,CP:2199229,0.25
CD:204550,CP:2199303,1.0
CD:204456,CP:2199364,0.25
CD:204525,CP:2199434,0.25
CD:74262,CP:2199436,0.25
CD:204504,CP:2199506,0.25
CD:204455,CP:2199539,0.25
CD:204532,CP:2199549,0.0
CD:204366,CP:2199642,0.0
CD:204487,CP:2199690,0.25
CD:204372,CP:2199734,0.25
CD:72442,CP:2199978,0.25
CD:72442,CP:2199980,0.25
CD:204503,CP:2200333,0.25
CD:205548,CP:2200388,0.0
CD:204488,CP:2200404,0.25
CD:204456,CP:2200425,0.25
CD:204404,CP:2200537,0.25
CD:141552,CP:2200600,0.25
CD:204377,CP:2200658,0.5
CD:204455,CP:2200680,0.0
CD:204363,CP:2200688,0.25
CD:160518,CP:2200777,0.25
CD:191923,CP:2200836,0.25
CD:204526,CP:2201469,0.25
