name,label,partido,type,score,bigtype,billtype,cod_partido,uf
CP:2192674,PL 1020/2019,,Proposicao,0.0,bill,PL,,
CP:2192677,PL 1022/2019,,Proposicao,0.25,bill,PL,,
CP:2192744,PL 1041/2019,,Proposicao,0.25,bill,PL,,
CP:2192747,PL 1044/2019,,Proposicao,0.0,bill,PL,,
CP:2192889,PL 1060/2019,,Proposicao,0.25,bill,PL,,
CP:2192903,PL 1074/2019,,Proposicao,0.25,bill,PL,,
CP:2192972,PL 1093/2019,,Proposicao,0.25,bill,PL,,
CP:2192978,PL 1095/2019,,Proposicao,1.0,bill,PL,,
CP:2192984,PL 1097/2019,,Proposicao,0.25,bill,PL,,
CP:2192992,PL 1101/2019,,Proposicao,0.25,bill,PL,,
CP:2193042,PL 1112/2019,,Proposicao,0.0,bill,PL,,
CP:2193087,PL 1119/2019,,Proposicao,0.25,bill,PL,,
CP:2193117,PL 1129/2019,,Proposicao,0.25,bill,PL,,
CP:2193121,PL 1130/2019,,Proposicao,0.0,bill,PL,,
CP:2193168,PL 1149/2019,,Proposicao,0.25,bill,PL,,
CP:2193220,PL 1175/2019,,Proposicao,0.25,bill,PL,,
CP:2193223,PL 1177/2019,,Proposicao,1.0,bill,PL,,
CP:2193296,PL 1190/2019,,Proposicao,0.25,bill,PL,,
CP:2193342,PL 1214/2019,,Proposicao,0.25,bill,PL,,
CP:2193372,PL 1234/2019,,Proposicao,0.25,bill,PL,,
CP:2193394,PL 1258/2019,,Proposicao,0.25,bill,PL,,
CP:2193438,PL 1269/2019,,Proposicao,1.0,bill,PL,,
CP:2193461,PL 1285/2019,,Proposicao,0.25,bill,PL,,
CP:2193472,PL 1291/2019,,Proposicao,0.0,bill,PL,,
CP:2193515,PLP 53/2019,,Proposicao,0.0,bill,PLP,,
CP:2193564,PLP 55/2019,,Proposicao,0.5,bill,PLP,,
CP:2193572,PL 1333/2019,,Proposicao,0.25,bill,PL,,
CP:2193576,PL 1335/2019,,Proposicao,0.25,bill,PL,,
CP:2193579,PL 1337/2019,,Proposicao,0.25,bill,PL,,
CP:2193642,PL 1371/2019,,Proposicao,0.25,bill,PL,,
CP:2193670,PL 1378/2019,,Proposicao,0.25,bill,PL,,
CP:2193684,PL 1382/2019,,Proposicao,0.25,bill,PL,,
CP:2193719,PL 1388/2019,,Proposicao,0.25,bill,PL,,
CP:2193756,PL 1410/2019,,Proposicao,0.25,bill,PL,,
CP:2193762,PL 1416/2019,,Proposicao,0.25,bill,PL,,
CP:2193767,PL 1422/2019,,Proposicao,1.0,bill,PL,,
CP:2193773,PL 1425/2019,,Proposicao,0.25,bill,PL,,
CP:2193774,PL 1426/2019,,Proposicao,0.25,bill,PL,,
CP:2193793,PL 1440/2019,,Proposicao,0.25,bill,PL,,
CP:2193801,PL 1442/2019,,Proposicao,0.25,bill,PL,,
CP:2193811,PL 1446/2019,,Proposicao,0.0,bill,PL,,
CP:2194001,PL 1499/2019,,Proposicao,0.25,bill,PL,,
CP:2194013,PL 1501/2019,,Proposicao,1.0,bill,PL,,
CP:2194049,PL 1508/2019,,Proposicao,0.25,bill,PL,,
CP:2194104,PL 1517/2019,,Proposicao,0.25,bill,PL,,
CP:2194396,PL 1556/2019,,Proposicao,0.25,bill,PL,,
CP:2194442,PL 1565/2019,,Proposicao,0.5,bill,PL,,
CP:2194460,PL 1572/2019,,Proposicao,0.25,bill,PL,,
CP:2194479,PL 1578/2019,,Proposicao,0.25,bill,PL,,
CP:2194570,PL 1589/2019,,Proposicao,0.25,bill,PL,,
CP:2194591,PL 1597/2019,,Proposicao,0.0,bill,PL,,
CP:2194749,PL 1610/2019,,Proposicao,0.25,bill,PL,,
CP:2194794,PL 1620/2019,,Proposicao,0.25,bill,PL,,
CP:2194874,PL 1645/2019,,Proposicao,0.25,bill,PL,,
CP:2194880,PL 1647/2019,,Proposicao,0.25,bill,PL,,
CP:2194912,PL 550/2019,,Proposicao,0.75,bill,PL,,
CP:2195031,PL 1679/2019,,Proposicao,1.0,bill,PL,,
CP:2195062,PL 1694/2019,,Proposicao,0.25,bill,PL,,
CP:2195101,PL 1696/2019,,Proposicao,0.0,bill,PL,,
CP:2195359,PL 1738/2019,,Proposicao,0.25,bill,PL,,
CP:2195370,PL 1742/2019,,Proposicao,0.25,bill,PL,,
CP:2195439,PL 1759/2019,,Proposicao,0.25,bill,PL,,
CP:2195484,PL 1770/2019,,Proposicao,0.0,bill,PL,,
CP:2195517,PL 1774/2019,,Proposicao,0.25,bill,PL,,
CP:2195526,PL 1777/2019,,Proposicao,0.25,bill,PL,,
CP:2195535,PL 1778/2019,,Proposicao,0.25,bill,PL,,
CP:2195550,PL 1785/2019,,Proposicao,0.25,bill,PL,,
CP:2195643,PL 1794/2019,,Proposicao,0.25,bill,PL,,
CP:2195644,PL 1795/2019,,Proposicao,0.25,bill,PL,,
CP:2195665,PL 1802/2019,,Proposicao,1.0,bill,PL,,
CP:2195673,PL 1806/2019,,Proposicao,0.25,bill,PL,,
CP:2195738,PL 1819/2019,,Proposicao,0.25,bill,PL,,
CP:2195763,PL 1825/2019,,Proposicao,0.25,bill,PL,,
CP:2195836,PL 1840/2019,,Proposicao,0.25,bill,PL,,
CP:2195847,PL 1841/2019,,Proposicao,0.25,bill,PL,,
CP:2195870,PL 1849/2019,,Proposicao,0.25,bill,PL,,
CP:2195908,PL 1860/2019,,Proposicao,0.25,bill,PL,,
