source,target,etype
CD:160508,CP:2195665,autoria
CD:207176,CP:2195673,autoria
CD:178925,CP:2195738,autoria
CD:204488,CP:2195763,autoria
CD:178975,CP:2195836,autoria
CD:204550,CP:2195847,autoria
CD:164360,CP:2195870,autoria
CD:204400,CP:2195908,autoria
CD:204400,CP:2195909,autoria
CD:204361,CP:2195992,autoria
CD:204472,CP:2196018,autoria
CD:204364,CP:2196107,autoria
CD:204435,CP:2196157,autoria
CD:204376,CP:2196339,autoria
CD:204529,CP:2196394,autoria
CD:204467,CP:2196406,autoria
CD:204444,CP:2196476,autoria
CD:74161,CP:2196504,autoria
CD:206231,CP:2196571,autoria
CD:204430,CP:2196586,autoria
CD:204457,CP:2196699,autoria
CD:178952,CP:2196730,autoria
CD:204359,CP:2196735,autoria
CD:178959,CP:2196795,autoria
CD:141450,CP:2196809,autoria
CD:178975,CP:2196833,autoria
CD:204524,CP:2196861,autoria
CD:204477,CP:2196880,autoria
CD:216545,CP:2196991,autoria
CD:122974,CP:2197170,autoria
CD:204397,CP:2197238,autoria
CD:204428,CP:2197247,autoria
CD:204473,CP:2197276,autoria
CD:204415,CP:2197322,autoria
CD:204496,CP:2197427,autoria
CO:78,CP:2197504,autoria
CD:166402,CP:2197579,autoria
CD:204529,CP:2197697,autoria
CD:204351,CP:2197797,autoria
CD:178934,CP:2197910,autoria
CD:160511,CP:2197918,autoria
CD:205476,CP:2198011,autoria
CD:141508,CP:2198027,autoria
CD:74158,CP:2198216,autoria
CD:178981,CP:2198219,autoria
CD:132504,CP:2198306,autoria
CD:204487,CP:2198310,autoria
CD:204488,CP:2198320,autoria
CD:204488,CP:2198326,autoria
CD:204488,CP:2198335,autoria
CD:74585,CP:2198398,autoria
CD:143632,CP:2198422,autoria
CD:141335,CP:2198424,autoria
CD:204355,CP:2198464,autoria
CD:207309,CP:2198488,autoria
CO:253,CP:2198615,autoria
CD:204472,CP:2198621,autoria
CD:81297,CP:2198698,autoria
CD:204472,CP:2198751,autoria
CD:204372,CP:2198835,autoria
CO:78,CP:2198856,autoria
CD:204377,CP:2198967,autoria
CD:178832,CP:2199009,autoria
CD:204521,CP:2199048,autoria
CD:204359,CP:2199133,autoria
CD:160575,CP:2199158,autoria
CD:204505,CP:2199161,autoria
CD:204373,CP:2199229,autoria
CD:204550,CP:2199303,autoria
CD:204456,CP:2199364,autoria
CD:204525,CP:2199434,autoria
CD:74262,CP:2199436,autoria
CD:204504,CP:2199506,autoria
CD:204455,CP:2199539,autoria
CD:204532,CP:2199549,autoria
CD:204366,CP:2199642,autoria
CD:204487,CP:2199690,autoria
CD:204372,CP:2199734,autoria
CD:72442,CP:2199978,autoria
CD:72442,CP:2199980,autoria
CD:204503,CP:2200333,autoria
CD:205548,CP:2200388,autoria
CD:204488,CP:2200404,autoria
CD:204456,CP:2200425,autoria
CD:204404,CP:2200537,autoria
CD:141552,CP:2200600,autoria
CD:204377,CP:2200658,autoria
CD:204455,CP:2200680,autoria
CD:204363,CP:2200688,autoria
CD:160518,CP:2200777,autoria
CD:191923,CP:2200836,autoria
CD:204526,CP:2201469,autoria
CD:160632,CP:2201533,autoria
CD:204408,CP:2201751,autoria
CD:204408,CP:2201752,autoria
CD:204450,CP:2201753,autoria
CD:204416,CP:2201912,autoria
CD:160655,CP:2203087,autoria
CD:204456,CP:2203096,autoria
CD:72442,CP:2203111,autoria
CD:204466,CP:2203208,autoria
CD:204479,CP:2203477,autoria
CD:74646,CP:2203509,autoria
CD:204573,CP:2203596,autoria
CD:204455,CP:2203624,autoria
CD:204393,CP:2203913,autoria
CD:204487,CP:2203942,autoria
CD:204476,CP:2204011,autoria
CD:204480,CP:2204065,autoria
CD:204525,CP:2204108,autoria
CD:204488,CP:2204121,autoria
CD:204488,CP:2204132,autoria
CD:204385,CP:2204202,autoria
CD:160512,CP:2204214,autoria
CD:204459,CP:2204230,autoria
CD:204511,CP:2204328,autoria
CD:204423,CP:2204333,autoria
CD:204560,CP:2204350,autoria
CD:204405,CP:2204438,autoria
CD:204427,CP:2204484,autoria
CD:73486,CP:2204557,autoria
CD:204502,CP:2204637,autoria
CD:178929,CP:2204702,autoria
CD:204428,CP:2205203,autoria
CD:141552,CP:2205216,autoria
CD:141552,CP:2205218,autoria
CD:204354,CP:2205433,autoria
CD:178863,CP:2205521,autoria
CD:204538,CP:2205538,autoria
CD:204376,CP:2205559,autoria
CD:141553,CP:2205645,autoria
CD:204481,CP:2206168,autoria
CO:253,CP:2206203,autoria
CD:204537,CP:2206252,autoria
CD:160532,CP:2206294,autoria
CD:90201,CP:2206389,autoria
CO:253,CP:2206395,autoria
CD:160534,CP:2206440,autoria
CD:204522,CP:2206510,autoria
CD:204406,CP:2206592,autoria
CD:204514,CP:2207066,autoria
CD:141428,CP:2207075,autoria
CD:141428,CP:2207082,autoria
CD:204359,CP:2207458,autoria
CD:204359,CP:2207459,autoria
CD:141552,CP:2207469,autoria
CD:178916,CP:2207488,autoria
CD:204573,CP:2207498,autoria
CD:204532,CP:2207511,autoria
CD:204411,CP:2207558,autoria
CD:204378,CP:2207673,autoria
CD:204388,CP:2207717,autoria
CD:204507,CP:2207767,autoria
CD:178937,CP:2207803,autoria
CD:204540,CP:2207821,autoria
CD:141428,CP:2208033,autoria
